iter	Passed	Remaining
762	7347	7096
763	7359	7089
764	7360	7071
765	7371	7063
766	7383	7056
767	7396	7049
768	7407	7041
769	7419	7034
770	7432	7027
771	7445	7020
772	7457	7013
773	7470	7007
774	7483	7000
775	7496	6994
776	7508	6987
777	7520	6978
778	7532	6971
779	7543	6963
780	7554	6955
781	7566	6947
782	7578	6939
783	7590	6931
784	7601	6923
785	7612	6915
786	7625	6908
787	7637	6900
788	7649	6893
789	7661	6885
790	7672	6877
791	7684	6869
792	7696	6861
793	7707	6853
794	7719	6845
795	7731	6837
796	7742	6829
797	7753	6821
798	7754	6803
799	7766	6795
800	7777	6787
801	7789	6779
802	7801	6771
803	7813	6763
804	7826	6756
805	7828	6740
806	7838	6731
807	7850	6723
808	7862	6715
809	7874	6707
810	7886	6700
811	7897	6691
812	7909	6683
813	7921	6675
814	7933	6667
815	7945	6660
816	7958	6653
817	7969	6644
818	7982	6637
819	7994	6629
820	8001	6617
821	8012	6609
822	8025	6601
823	8037	6594
824	8044	6581
825	8056	6574
826	8068	6565
827	8079	6557
828	8091	6549
829	8095	6535
830	8107	6526
831	8119	6518
832	8130	6510
833	8142	6502
834	8154	6494
835	8166	6486
836	8178	6478
837	8191	6470
838	8202	6462
839	8214	6454
840	8226	6446
841	8238	6438
842	8250	6429
843	8262	6421
844	8274	6413
845	8286	6405
846	8298	6397
847	8309	6389
848	8322	6381
849	8328	6369
850	8340	6361
851	8352	6352
852	8363	6344
853	8376	6336
854	8389	6328
855	8403	6322
856	8415	6313
857	8427	6306
858	8440	6298
859	8452	6290
860	8464	6281
861	8476	6273
862	8489	6266
863	8501	6257
864	8512	6249
865	8524	6240
866	8536	6232
867	8547	6223
868	8558	6214
869	8570	6206
870	8584	6199
871	8586	6183
872	8597	6174
873	8608	6165
874	8620	6157
875	8632	6149
876	8644	6140
877	8646	6125
878	8658	6117
879	8669	6108
880	8681	6099
881	8693	6091
882	8705	6083
883	8719	6076
884	8732	6068
885	8744	6059
886	8756	6051
887	8767	6042
888	8779	6033
889	8790	6024
890	8802	6016
891	8814	6007
892	8826	5999
893	8838	5991
894	8850	5982
895	8863	5974
896	8875	5966
897	8886	5957
898	8898	5949
899	8911	5940
900	8922	5931
901	8935	5923
902	8947	5915
903	8960	5907
904	8971	5898
905	8983	5890
906	8995	5881
907	9007	5872
908	9019	5864
909	9031	5855
910	9044	5847
911	9056	5839
912	9068	5830
913	9080	5821
914	9092	5813
915	9103	5804
916	9115	5795
917	9127	5786
918	9139	5777
919	9150	5768
920	9162	5760
921	9174	5751
922	9187	5743
923	9198	5734
924	9210	5725
925	9222	5717
926	9234	5707
927	9246	5699
928	9257	5690
929	9270	5681
930	9281	5672
931	9293	5663
932	9305	5655
933	9317	5646
934	9328	5637
935	9340	5628
936	9352	5619
937	9365	5611
938	9377	5602
939	9390	5594
940	9403	5586
941	9415	5577
942	9428	5569
943	9441	5560
944	9453	5552
945	9466	5544
946	9478	5535
947	9490	5526
948	9492	5511
949	9504	5502
950	9505	5487
951	9516	5478
952	9520	5464
953	9532	5455
954	9543	5446
955	9555	5437
956	9567	5428
957	9579	5419
958	9592	5411
959	9606	5403
960	9618	5394
961	9629	5385
962	9642	5376
963	9654	5368
964	9666	5359
965	9678	5350
966	9691	5341
967	9702	5332
968	9714	5323
969	9725	5314
970	9737	5304
971	9748	5295
972	9761	5286
973	9772	5277
974	9775	5263
975	9786	5254
976	9798	5245
977	9810	5236
978	9821	5226
979	9834	5218
980	9846	5209
981	9857	5199
982	9871	5191
983	9882	5182
984	9894	5173
985	9906	5164
986	9920	5156
987	9933	5147
988	9937	5134
989	9948	5125
990	9960	5115
991	9972	5107
992	9984	5097
993	9996	5088
994	10008	5079
995	10020	5070
996	10032	5061
997	10044	5052
998	10056	5043
999	10068	5034
1000	10080	5025
1001	10092	5016
1002	10106	5007
1003	10118	4998
1004	10130	4989
1005	10136	4977
1006	10149	4968
1007	10161	4959
1008	10172	4950
1009	10184	4941
1010	10196	4931
1011	10208	4922
1012	10220	4913
1013	10232	4904
1014	10244	4894
